franja,2017,2018,2019,2020,2021,2022,2023,2024
0-19,430938.48527201795,372560.43193831254,326225.06734879373,293095.50727985153,267730.11286719044,268364.9559563541,237558.4204884282,223735.8245249379
20-34,946204.5645312797,903083.2176169849,816054.4381687316,747938.710482195,730241.6211986851,749718.5409239626,736485.782093669,701336.9342966147
35-49,1317532.796620541,1284640.5885270436,1169361.6498051693,1078979.3051518234,1116263.5175533711,1049131.5276191402,1033369.228177554,990317.9790711723
50-64,1363086.748924854,1291109.2614807214,1193743.5018843384,1081461.434463391,1104583.3845336172,1017408.5267732458,1021492.7880736836,951950.3794418956
65+,1058299.2881700597,1049998.1040932671,920379.4130967223,925634.1739033209,840204.1012633606,773937.8294898338,719919.3735376648,662609.122072963
