franja,2017,2018,2019,2020,2021,2022,2023,2024
0-19,28.33864724350209,30.744238783017025,35.296013461944995,37.436527121921955,29.45839549340705,25.022609518914226,25.627596281518027,26.529902507179745
20-34,11.922968972094992,13.535156163565443,14.308728997294939,16.624158826389763,13.476568654901607,9.878057613244744,9.274611915983954,10.518605196421309
35-49,5.48240423700723,6.085121226266177,6.7266174591125605,7.726403274992235,5.598341470672176,4.094146234089363,3.908008234760855,4.6294122042037
50-64,4.177148714726129,5.081597893886864,5.612421820060398,7.946904351836651,5.323398139035641,4.752605725840091,3.178356990777405,4.381648903920215
65+,4.071837377408863,6.208365683690991,4.976153389134934,4.062085164825839,3.2986144588370934,3.870586399955999,2.8681532753556866,5.015502037389373
